gbifID,in_set,has_locality_occurrence_txt
1095591506,only_filtered_multimedia_occurrence_txt_logic,TRUE
1258626304,only_filtered_multimedia_occurrence_txt_logic,TRUE
1269676836,only_filtered_multimedia_occurrence_txt_logic,TRUE
1269721852,only_filtered_multimedia_occurrence_txt_logic,TRUE
1457755717,only_filtered_multimedia_occurrence_txt_logic,TRUE
1503207242,only_filtered_multimedia_occurrence_txt_logic,TRUE
1849116243,only_filtered_multimedia_occurrence_txt_logic,TRUE
1849155893,only_filtered_multimedia_occurrence_txt_logic,TRUE
1849185672,only_filtered_multimedia_occurrence_txt_logic,TRUE
1930723326,only_filtered_multimedia_occurrence_txt_logic,TRUE
1989996074,only_filtered_multimedia_occurrence_txt_logic,FALSE
1989996078,only_filtered_multimedia_occurrence_txt_logic,FALSE
1989996082,only_filtered_multimedia_occurrence_txt_logic,FALSE
1989996104,only_filtered_multimedia_occurrence_txt_logic,FALSE
1989996108,only_filtered_multimedia_occurrence_txt_logic,FALSE
1989996114,only_filtered_multimedia_occurrence_txt_logic,FALSE
1989996120,only_filtered_multimedia_occurrence_txt_logic,FALSE
1989996128,only_filtered_multimedia_occurrence_txt_logic,FALSE
1989996176,only_filtered_multimedia_occurrence_txt_logic,FALSE
1989996195,only_filtered_multimedia_occurrence_txt_logic,FALSE
1998350159,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998362282,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998374117,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998381139,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998384759,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998408687,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998412530,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998445758,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998446011,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998454138,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998454694,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998464060,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998500206,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998508118,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998545689,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998545710,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998554455,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998572620,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998580284,only_filtered_multimedia_occurrence_txt_logic,TRUE
1998581313,only_filtered_multimedia_occurrence_txt_logic,TRUE
